"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks View"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Search","Declaration in Workspace","⌘G","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Zoom In","⌘+","Editing Text"
"Views","JavaScript Type Hierarchy","⌥⌘Q T","JavaScript View"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Search","References in Workspace","⇧⌘G","JavaScript View"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Text Editing","Select Next Word","⌥⇧→","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Terminal view commands","Paste","⌘V","Terminal Control in Focus"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Run/Debug","Run to Line","⌘R","Debugging"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Window","Toggle Split Editor (Vertical)","⇧⌘[","In Windows"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Run/Debug","Run on Server","⌥⇧X R","In Windows"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Edit","Toggle Comment","⌘/","Editing SQL"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Window","Next Editor","⌘F6","In Windows"
"Navigate","Open Remote Task","⌥⇧⌘F12","In Windows"
"Task Repositories","Mark Task Read","⌥⇧R","In Tasks Editor"
"Edit","Delete","⌦","In Windows"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Focused UI","Show Context Quick View","⌥⇧⌘→","In Windows"
"Navigate","Backward History","⌥⌘←","In Windows"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Run/Debug","Step Into","F5","Debugging"
"Terminal view commands","Terminal view insert","⌥P","Terminal Typing Connected"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Server","Run","⌥⌘R","In Servers View"
"Edit","Select Enclosing Element","⌃⇧⇞","Editing Java Source"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Run/Debug","Step Return","F7","Debugging"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"View","Zoom In","⌘=","In Windows"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Edit","Select Next Element","⌃⇧↘","Editing Java Source"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"File","Properties","⌥↩","In Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Terminal view commands","Terminal view insert","⌥R","Terminal Typing Connected"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Edit","Toggle Word Wrap","⌥⌘Y","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Server","Publish","⌥⌘P","In Servers View"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥D","Terminal Typing Connected"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Run/Debug","Run Maven Build","⌥⇧X M","In Windows"
"Run/Debug","Inspect","⇧⌘I","Chromium Debug"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Task Repositories","New Subtask","⌥⇧N","In Tasks View"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Navigate","Show In...","⌥⌘W","In Windows"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Backward History","⌘[","In Windows"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Edit","Rename","⌥⇧R","Editing JSP Source"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks Editor"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks Editor"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Navigate","Open Declaration","F3","JavaScript View"
"Text Editing","Line End","⌘→","Editing Text"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Window","Activate Editor","⌘F12","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Edit","Restore Last Selection","⌥⇧↓","Editing in Structured Text Editors"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⌥⇧↓","In Tasks View"
"Window","Next View","⌘F7","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Edit","Select Previous Element","⌃⇧←","Editing JavaScript Source"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Task Repositories","New Local Task","⌥N","In Tasks View"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Text Editing","Zoom Out","⌘-","Editing Text"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"ASA 9.x table schema editor","Cut","⌥X","In Windows"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"JavaScript Debug","Evaluate","⌥⇧E","Editing JavaScript Source"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Edit","Add Maven Dependency","⌃⇧D","Editing XML Source"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Edit","Add Im&port","⇧⌘M","Editing JSP Source"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"Window","Quick Switch Editor","⌘E","In Windows"
"Focused UI","Make Landmark","⌥⇧⌘↑","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks View"
"Source","Organize Imports","⇧⌘O","In Windows"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Terminal view commands","Copy","⇧⌘C","Terminal Control in Focus"
"Focused UI","Make Less Interesting","⌥⇧⌘↓","In Windows"
"Terminal view commands","Paste","⇧Insert","Terminal Control in Focus"
"Edit","Matching Tag","⌃⇧.","Editing in Structured Text Editors"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Spy","Plug-in Menu Spy","⌥⇧F2","In Dialogs and Windows"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Edit","Select Enclosing Element","⌥⇧↑","Editing in Structured Text Editors"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Navigate","Activate Task","⌘F9","In Windows"
"Search","Open Search Dialog","⌃H","In Windows"
"Source","Format","⇧⌘F","Editing Java Source"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks View"
"Edit","Restore Last Selection","⌃⇧⇟","Editing Java Source"
"Edit","Select Next Element","⌃⇧→","Editing in Structured Text Editors"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Navigate","Forward History","⌘]","In Windows"
"Window","Select Maven Profiles","⌃⌥P","In Windows"
"Server","Debug","⌥⌘D","In Servers View"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Navigate","Previous Page","⇧⌘F5","Using Web Page Editor"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Project","Build All","⌘B","In Windows"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Run/Debug","Skip All Breakpoints","⌥⌘B","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Uncategorized","Add Artifact to Target Platform","⌥⇧⌘A","In Windows"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Edit","Select Enclosing Element","⌃⇧↑","Editing JavaScript Source"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Terminal view commands","Terminal view insert","⌥C","Terminal Typing Connected"
"Edit","Quick Diff Toggle","⌃⇧Q","Editing Text"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Server","Stop","⌥⌘S","In Servers View"
"Terminal view commands","Paste","⇧⌘V","Terminal Control in Focus"
"Run/Debug","Debug on Server","⌥⇧D R","In Windows"
"File","Save","⌘S","In Windows"
"Edit","Context Information","⌃⇧Space","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Run/Debug","Resume","F8","Debugging"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Window","Update Project","⌥F5","In Windows"
"Terminal view commands","Copy","⌘Insert","Terminal Control in Focus"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Text Editing","Text End","⌘↘","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Navigate","Next Page","⌥F7","In Windows"
"Navigate","Quick Outline","⌘O","PDE editor"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Text Editing","Zoom In","⌘=","Editing Text"
"Navigate","Open Manifest","⌥⇧⌘M","In Windows"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Navigate","Open from Clipboard","⇧⌘V","In Windows"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Navigate","Forward History","⌥⌘→","In Windows"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Edit","Select Previous Element","⌃⇧↖","Editing Java Source"
"Terminal Commands","Open Local Terminal on Selection","⌃⌥T","In Windows"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Text Editing","Delete Line","⌘D","Editing Text"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⌥⇧↑","In Tasks View"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Text Editing","Select Previous Word","⌥⇧←","Editing Text"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Text Editing","Text Start","↖","Editing Text"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Spy","Plug-in Selection Spy","⌥⇧F1","In Dialogs and Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Navigate","Open Maven POM","⌥⇧P","In Windows"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Window","Close Dialog","⌘W","In Dialogs"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Edit","Select Previous Element","⌃⇧←","Editing in Structured Text Editors"
"Edit","Previous Sibling","⌃⇧↑","Editing in Structured Text Editors"
"Edit","Incremental Find","⌘J","Editing Text"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks Editor"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Navigate","Go to Line","⌘L","Editing Text"
"Edit","Find Previous","⇧⌘K","Editing Text"
"File","Rename","F2","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Control in Focus"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"File","Print","⌘P","In Windows"
"File","New","⌘N","In Windows"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Edit","Find and Replace","⌘F","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
